"Alpha","Fold","Lambda","MAE","RMSE","R2"
0.25,4,303.222984805712,127.208663190987,158.720739222009,0.0624143085648482
0.25,4,269.854215697089,126.164148500747,156.441354574331,0.0891502334178217
0.25,4,240.157578345028,125.126455106216,154.244010342735,0.114557767092747
0.25,4,213.728965795699,124.134533463618,152.149498245686,0.138441711345701
0.25,4,190.208741838959,123.262310395393,150.175909983571,0.160647940515571
0.25,4,169.276847137993,122.459437106513,148.337963515218,0.181067247288433
0.25,4,150.648443914528,121.712407688268,146.64652835055,0.199636659447486
0.25,4,134.070039923227,121.086721788244,145.108385559109,0.216338273740216
0.25,4,119.316038970929,120.542800947073,143.726233405212,0.231195875596564
0.25,4,106.185671040782,120.02221683953,142.49892375509,0.24426978789904
0.25,4,94.5002602468927,119.596245760746,141.421891876715,0.255650499232484
0.25,4,84.1007934422775,119.249034000566,140.487726382576,0.265451655891044
0.25,4,74.845756394128,118.944936260579,139.686818706263,0.273802968633733
0.25,4,66.6092080814196,118.700548941688,139.008032682292,0.280843500253686
0.25,4,59.2790669102242,118.513890416067,138.439342958294,0.286715683747525
0.25,4,52.7555855258255,118.343330901297,137.968403584682,0.291560293823317
0.25,4,46.9499934671316,118.192849568208,137.583022441205,0.295512474039814
0.25,4,41.7832891928501,118.09719022839,137.272198589636,0.298691996847777
0.25,4,37.1851650415151,118.052976136048,137.029169911497,0.301173010276811
