"Alpha","Lambda","Mean_MAE","SD_MAE","Mean_RMSE","SD_RMSE","Mean_R2","SD_R2"
0.25,14.6320919704577,115.270015380178,5.99941518940802,136.339407799873,5.22474844263438,0.297660301668583,0.0767577608601076
0.75,5.4804734595588,115.165248694467,6.02802837276652,136.339974315141,5.26436517899565,0.297500419595423,0.0786460745689988
0.25,33.093050496401,115.004987649835,6.04973077008227,136.369900109564,5.26719622963889,0.297431087645786,0.0756352813865798
0.5,7.31604598522883,115.281712193244,6.02981043177115,136.455803182322,5.20927219959927,0.296401597068045,0.0775751084965203
0.25,13.0218746617296,115.385047227102,6.02775567386792,136.503274555464,5.20248992228829,0.296026137272472,0.0762959603169302
0.5,33.3046040407098,115.217497861014,6.03645821520267,136.514925724417,5.51901376521117,0.295835069571042,0.0774837993985411
0.75,28.0335978140925,115.216561197703,6.03723453460146,136.518984122259,5.52881150175286,0.295784535873412,0.0775957868931281
0.75,4.87736399015255,115.317448977535,6.0253972960183,136.526864073155,5.19542969436422,0.295657566641115,0.0777575109714862
0.25,37.1851650415151,115.195216351261,5.9414196560277,136.609316488125,5.15907928638235,0.29510141404804,0.0738990812264595
0.5,6.51093733086481,115.45270170683,6.03266439157778,136.652003359874,5.18193970540408,0.294455956694408,0.0768615615350455
0.25,11.588856880353,115.521810109259,6.03834311858497,136.68111563433,5.19069700145365,0.294245513067311,0.0758741992074367
0.75,4.3406248872432,115.48887686038,6.03324549083826,136.730199273131,5.16929300705904,0.293644461171928,0.0769712774453327
0.25,41.7832891928501,115.32478780241,5.91160993231073,136.809753628039,5.15321736527381,0.293100920314905,0.0731804890221502
0.5,37.422878197064,115.360500628378,5.9884831177475,136.821756865791,5.42809110717761,0.292818602173023,0.0756957976970141
0.75,31.5000867489642,115.373749674689,5.98410199355656,136.846613101941,5.43456538170055,0.292561134714582,0.0757148370546847
0.5,5.79442844017649,115.610026164553,6.04763644824486,136.857730760636,5.16908646286067,0.292406963007092,0.0762121539776848
0.25,10.3135383561944,115.658687901333,6.06945054520452,136.859394560651,5.20207626208223,0.292448116249405,0.0756297770242724
0.75,3.86295229345099,115.644452521344,6.05188464987355,136.936445564228,5.16239636678934,0.291590604259028,0.0763185338513459
0.25,46.9499934671316,115.438966829491,5.89836135253025,137.028894303742,5.16210587371018,0.290901876194923,0.072504767081499
0.25,9.17856476465982,115.785575926868,6.10579899561759,137.042538923048,5.20589184744687,0.290606942724169,0.0752666284685337
0.5,5.15676917809721,115.754777094137,6.08784609352919,137.059063613194,5.18540128652345,0.290388038555882,0.0757781772178304
0.75,3.43784611873147,115.798626788346,6.08791673841774,137.146278969163,5.17924510932996,0.289490759743851,0.0757955150932952
0.5,42.0503967211388,115.550880998548,5.92405339202954,137.212776162308,5.33098460898968,0.288941383240037,0.0736811527686104
0.25,8.1684915719013,115.906660019809,6.14022687921366,137.252788997477,5.19886769828669,0.288487603318275,0.0747912854983959
